t,lat,lon,speed,course
0.0,53.8008,-1.5491,0.0,90.0
1.0,53.8008,-1.5490049356912101,6.25,90.0
2.0,53.8008,-1.5488148070736303,12.5,90.0
3.0,53.8008,-1.5485296141472604,18.75,90.0
4.0,53.8008,-1.5481493569121008,25.0,90.0
5.0,53.8008,-1.5477690996769413,25.0,90.0
6.0,53.8008,-1.5473888424417817,25.0,90.0
7.0,53.8008,-1.547008585206622,25.0,90.0
8.0,53.8008,-1.5466283279714623,25.0,90.0
9.0,53.8008,-1.5462480707363027,25.0,90.0
10.0,53.8008,-1.545867813501143,25.0,90.0
11.0,53.8008,-1.5454875562659833,25.0,90.0
12.0,53.8008,-1.5451072990308239,25.0,90.0
13.0,53.8008,-1.5447270417956642,25.0,90.0
14.0,53.8008,-1.5443467845605046,25.0,90.0
15.0,53.8008,-1.543966527325345,25.0,90.0
16.0,53.8008,-1.5435862700901852,25.0,90.0
17.0,53.8008,-1.5432060128550256,25.0,90.0
18.0,53.8008,-1.542825755619866,25.0,90.0
19.0,53.8008,-1.5424454983847065,25.0,90.0
20.0,53.8008,-1.5420652411495468,25.0,90.0
21.0,53.8008,-1.5416849839143871,25.0,90.0
22.0,53.8008,-1.5413047266792275,25.0,90.0
23.0,53.8008,-1.5409244694440678,25.0,90.0
24.0,53.8008,-1.5405442122089081,25.0,90.0
25.0,53.8008,-1.5401639549737487,25.0,90.0
26.0,53.8008,-1.539783697738589,25.0,90.0
27.0,53.8008,-1.5394034405034294,25.0,90.0
28.0,53.8008,-1.5390231832682697,25.0,90.0
29.0,53.8008,-1.53864292603311,25.0,90.0
30.0,53.8008,-1.5382626687979504,25.0,90.0
31.0,53.8008,-1.5378824115627907,25.0,90.0
32.0,53.8008,-1.5375021543276313,25.0,90.0
33.0,53.8008,-1.5371218970924716,25.0,90.0
34.0,53.8008,-1.536741639857312,25.0,90.0
35.0,53.8008,-1.5363613826221523,25.0,90.0
36.0,53.8008,-1.5359811253869926,25.0,90.0
37.0,53.8008,-1.535600868151833,25.0,90.0
38.0,53.8008,-1.5352206109166735,25.0,90.0
39.0,53.8008,-1.5348403536815138,25.0,90.0
40.0,53.8008,-1.5344600964463542,25.0,90.0
41.0,53.8008,-1.5340798392111945,25.0,90.0
42.0,53.8008,-1.5336995819760348,25.0,90.0
43.0,53.8008,-1.5333193247408752,25.0,90.0
44.0,53.800776525228336,-1.5329411505946369,25.0,96.0
45.0,53.80072983287952,-1.5325692028924036,25.0,102.0
46.0,53.800660434524694,-1.5322075567710367,25.0,108.0
47.0,53.80059103616986,-1.5318459106496698,25.0,108.0
48.0,53.80052163781504,-1.5314842645283029,25.0,108.0
49.0,53.80045223946021,-1.531122618406936,25.0,108.0
50.0,53.80038284110538,-1.530760972285569,25.0,108.0
51.0,53.80031344275056,-1.530399326164202,25.0,108.0
52.0,53.800244044395725,-1.530037680042835,25.0,108.0
53.0,53.8001746460409,-1.5296760339214681,25.0,108.0
54.0,53.800105247686076,-1.5293143878001012,25.0,108.0
55.0,53.800035849331245,-1.5289527416787343,25.0,108.0
56.0,53.79996645097642,-1.5285910955573674,25.0,108.0
57.0,53.799897052621596,-1.5282294494360003,25.0,108.0
58.0,53.799827654266764,-1.5278678033146333,25.0,108.0
59.0,53.79975825591194,-1.5275061571932664,25.0,108.0
60.0,53.79968885755711,-1.5271445110718995,25.0,108.0
61.0,53.79961945920228,-1.5267828649505326,25.0,108.0
62.0,53.79955006084746,-1.5264212188291657,25.0,108.0
63.0,53.79948066249263,-1.5260595727077986,25.0,108.0
64.0,53.7994112641378,-1.5256979265864317,25.0,108.0
65.0,53.79934186578297,-1.5253362804650648,25.0,108.0
66.0,53.799272467428146,-1.5249746343436978,25.0,108.0
67.0,53.79920306907332,-1.524612988222331,25.0,108.0
68.0,53.79913367071849,-1.524251342100964,25.0,108.0
69.0,53.799064272363665,-1.523889695979597,25.0,108.0
70.0,53.79899487400884,-1.52352804985823,25.0,108.0
71.0,53.79892547565401,-1.523166403736863,25.0,108.0
72.0,53.798856077299185,-1.5228047576154962,25.0,108.0
73.0,53.79878667894435,-1.5224431114941293,25.0,108.0
74.0,53.79871728058953,-1.5220814653727623,25.0,108.0
75.0,53.798647882234704,-1.5217198192513952,25.0,108.0
76.0,53.79857848387987,-1.5213581731300283,25.0,108.0
77.0,53.79850908552505,-1.5209965270086614,25.0,108.0
78.0,53.798439687170216,-1.5206348808872945,25.0,108.0
79.0,53.79837028881539,-1.5202732347659276,25.0,108.0
80.0,53.79830089046057,-1.5199115886445607,25.0,108.0
81.0,53.798231492105735,-1.5195499425231935,25.0,108.0
82.0,53.79816209375091,-1.5191882964018266,25.0,108.0
83.0,53.79809870992017,-1.5188579929443116,22.833333333333332,108.0
84.0,53.79804134061351,-1.5185590321506481,20.666666666666668,108.0
85.0,53.79798998583094,-1.5182914140208366,18.5,108.0
86.0,53.79794464557245,-1.5180551385548768,16.333333333333336,108.0
87.0,53.79790531983805,-1.517850205752769,14.166666666666668,108.0
88.0,53.797872008627735,-1.517676615614513,12.0,108.0
89.0,53.79783869741741,-1.5175030254762567,12.0,108.0
90.0,53.797805386207095,-1.5173294353380005,12.0,108.0
91.0,53.79777207499678,-1.5171558451997444,12.0,108.0
92.0,53.79773876378646,-1.5169822550614882,12.0,108.0
93.0,53.797705452576146,-1.5168086649232322,12.0,108.0
94.0,53.79767214136583,-1.516635074784976,12.0,108.0
95.0,53.79763883015551,-1.51646148464672,12.0,108.0
96.0,53.7976055189452,-1.5162878945084637,12.0,108.0
97.0,53.79757220773488,-1.5161143043702077,12.0,108.0
98.0,53.797538896524564,-1.5159407142319514,12.0,108.0
99.0,53.797512247556305,-1.5158018421213466,9.6,108.0
100.0,53.79749226083012,-1.515697688038393,7.2,108.0
101.0,53.79747893634599,-1.5156282519830904,4.800000000000001,108.0
102.0,53.797472274103924,-1.5155935339554392,2.4000000000000004,108.0
