t,lat,lon,speed,course
0.0,51.5326,-0.105,0.0,90.0
1.0,51.5326,-0.10496129893977955,2.68,90.0
2.0,51.5326,-0.10488389681933867,5.36,90.0
3.0,51.5326,-0.10476779363867735,8.040000000000001,90.0
4.0,51.5326,-0.10461298939779558,10.72,90.0
5.0,51.5326,-0.10441948409669337,13.4,90.0
6.0,51.5326,-0.10422597879559115,13.4,90.0
7.0,51.5326,-0.10403247349448894,13.4,90.0
8.0,51.5326,-0.10383896819338673,13.4,90.0
9.0,51.5326,-0.10364546289228452,13.4,90.0
10.0,51.5326,-0.10345195759118231,13.4,90.0
11.0,51.5326,-0.1032584522900801,13.4,90.0
12.0,51.5326,-0.10306494698897788,13.4,90.0
13.0,51.5326,-0.10287144168787567,13.4,90.0
14.0,51.5326,-0.10267793638677346,13.4,90.0
15.0,51.5326,-0.10248443108567125,13.4,90.0
16.0,51.5326,-0.10229092578456904,13.4,90.0
17.0,51.5326,-0.10209742048346683,13.4,90.0
18.0,51.5326,-0.10190391518236461,13.4,90.0
19.0,51.5326,-0.1017104098812624,13.4,90.0
20.0,51.5326,-0.10151690458016019,13.4,90.0
21.0,51.5326,-0.10142015192960908,6.7,90.0
22.0,51.5326,-0.10142015192960908,0.0,90.0
23.0,51.5326,-0.10142015192960908,0.0,90.0
24.0,51.5326,-0.10142015192960908,0.0,90.0
25.0,51.5326,-0.10142015192960908,0.0,90.0
26.0,51.5326,-0.10142015192960908,0.0,90.0
27.0,51.5326,-0.10142015192960908,0.0,90.0
28.0,51.5326,-0.10142015192960908,0.0,90.0
29.0,51.5326,-0.10142015192960908,0.0,90.0
30.0,51.5326,-0.10142015192960908,0.0,90.0
31.0,51.5326,-0.1013672027178647,3.6666666666666665,90.0
32.0,51.5326,-0.10126130429437592,7.333333333333333,90.0
33.0,51.5326,-0.10110245665914278,11.0,90.0
34.0,51.5326,-0.10094360902390961,11.0,90.0
35.0,51.5326,-0.10078476138867645,11.0,90.0
36.0,51.5326,-0.10062591375344329,11.0,90.0
37.0,51.532558239302205,-0.10048194890467912,11.0,115.0
38.0,51.53248254321098,-0.10037984361292324,11.0,140.0
39.0,51.53238709599495,-0.1003387308196554,11.0,165.0
40.0,51.53228978297587,-0.10036631442204035,11.0,190.0
41.0,51.532192469956804,-0.10039389802442528,11.0,190.0
42.0,51.53209515693773,-0.10042148162681022,11.0,190.0
43.0,51.53199784391866,-0.10044906522919517,11.0,190.0
44.0,51.531900530899584,-0.1004766488315801,11.0,190.0
45.0,51.531803217880515,-0.10050423243396504,11.0,190.0
46.0,51.53170590486144,-0.10053181603634997,11.0,190.0
47.0,51.53163292009714,-0.10055250373813868,8.25,190.0
48.0,51.531584263587604,-0.10056629553933115,5.5,190.0
49.0,51.53155993533283,-0.10057319143992739,2.75,190.0
