t,lat,lon,speed,course
0.0,55.9533,-3.1883,0.0,90.0
1.0,55.9533,-3.188285960589639,0.875,90.0
2.0,55.9533,-3.188257881768917,1.75,90.0
3.0,55.9533,-3.1882157635378343,2.625,90.0
4.0,55.9533,-3.1881596058963906,3.5,90.0
5.0,55.9533,-3.188089408844586,4.375,90.0
6.0,55.9533,-3.1880051723824203,5.25,90.0
7.0,55.9533,-3.1879068965098942,6.125,90.0
8.0,55.9533,-3.1877945812270068,7.0,90.0
9.0,55.9533,-3.1876822659441193,7.0,90.0
10.0,55.9533,-3.187569950661232,7.0,90.0
11.0,55.9533,-3.1874576353783444,7.0,90.0
12.0,55.9533,-3.1873453200954573,7.0,90.0
13.0,55.9533,-3.18723300481257,7.0,90.0
14.0,55.9533,-3.1871206895296824,7.0,90.0
15.0,55.9533,-3.187036453067517,5.25,90.0
16.0,55.9533,-3.186980295426073,3.5,90.0
17.0,55.9533,-3.186952216605351,1.75,90.0
18.0,55.9533,-3.186952216605351,0.0,90.0
19.0,55.9533,-3.186952216605351,0.0,90.0
20.0,55.9533,-3.186952216605351,0.0,90.0
21.0,55.9533,-3.186952216605351,0.0,90.0
22.0,55.9533,-3.186952216605351,0.0,90.0
23.0,55.9533,-3.186952216605351,0.0,90.0
24.0,55.9533,-3.186952216605351,0.0,90.0
25.0,55.9533,-3.186952216605351,0.0,90.0
26.0,55.9533,-3.186952216605351,0.0,90.0
27.0,55.9533,-3.186952216605351,0.0,90.0
28.0,55.9533,-3.186952216605351,0.0,90.0
29.0,55.9533,-3.186952216605351,0.0,90.0
30.0,55.9533,-3.186952216605351,0.0,90.0
31.0,55.9533,-3.186952216605351,0.0,90.0
32.0,55.9533,-3.186952216605351,0.0,90.0
33.0,55.9533,-3.186952216605351,0.0,90.0
34.0,55.9533,-3.186952216605351,0.0,90.0
35.0,55.9533,-3.186952216605351,0.0,90.0
36.0,55.9533,-3.186952216605351,0.0,90.0
37.0,55.9533,-3.186952216605351,0.0,90.0
38.0,55.9533,-3.186952216605351,0.0,90.0
39.0,55.9533,-3.186952216605351,0.0,90.0
40.0,55.9533,-3.186952216605351,0.0,90.0
41.0,55.9533,-3.186952216605351,0.0,90.0
42.0,55.9533,-3.186952216605351,0.0,90.0
43.0,55.9533,-3.186952216605351,0.0,90.0
44.0,55.9533,-3.186952216605351,0.0,90.0
45.0,55.9533,-3.186952216605351,0.0,90.0
46.0,55.9533,-3.186952216605351,0.0,90.0
47.0,55.9533,-3.186952216605351,0.0,90.0
48.0,55.9533,-3.186952216605351,0.0,90.0
49.0,55.9533,-3.1869338794163085,1.1428571428571428,90.0
50.0,55.9533,-3.186897205038223,2.2857142857142856,90.0
51.0,55.9533,-3.186842193471094,3.4285714285714284,90.0
52.0,55.9533,-3.1867688447149227,4.571428571428571,90.0
53.0,55.9533,-3.186677158769709,5.7142857142857135,90.0
54.0,55.9533,-3.1865671356354515,6.857142857142857,90.0
55.0,55.9533,-3.1864387753121517,8.0,90.0
56.0,55.9533,-3.186310414988852,8.0,90.0
57.0,55.9533,-3.186182054665552,8.0,90.0
58.0,55.9533,-3.1860536943422524,8.0,90.0
59.0,55.9533,-3.185925334018952,8.0,90.0
60.0,55.9533,-3.1857969736956524,8.0,90.0
61.0,55.9533,-3.1856686133723526,8.0,90.0
62.0,55.9533,-3.185540253049053,8.0,90.0
63.0,55.9533,-3.1854118927257526,8.0,90.0
64.0,55.9533,-3.185283532402453,8.0,90.0
65.0,55.9533,-3.185155172079153,8.0,90.0
66.0,55.9533,-3.185053553489874,6.333333333333333,90.0
67.0,55.9533,-3.184978676634616,4.666666666666666,90.0
