t,lat,lon,speed,course
0.0,53.4808,-2.2426,0.0,90.0
1.0,53.4808,-2.242566790275139,2.2,90.0
2.0,53.4808,-2.242500370825418,4.4,90.0
3.0,53.4808,-2.2424007416508367,6.6000000000000005,90.0
4.0,53.4808,-2.242267902751394,8.8,90.0
5.0,53.4808,-2.242101854127091,11.0,90.0
6.0,53.4808,-2.2419358055027883,11.0,90.0
7.0,53.4808,-2.241769756878486,11.0,90.0
8.0,53.4808,-2.241603708254183,11.0,90.0
9.0,53.4808,-2.24143765962988,11.0,90.0
10.0,53.4808,-2.241271611005577,11.0,90.0
11.0,53.4808,-2.241105562381274,11.0,90.0
12.0,53.4808,-2.240939513756971,11.0,90.0
13.0,53.4807461013295,-2.2407826384912517,12.0,120.0
14.0,53.480657413855525,-2.240696595113204,11.4,150.0
15.0,53.48056039624863,-2.240696595113204,10.8,180.0
16.0,53.48048104429822,-2.240773581293562,10.2,210.0
17.0,53.48043792536183,-2.240899081506138,9.6,240.0
18.0,53.48039750135895,-2.241016737955428,9.0,240.0
19.0,53.480357077356075,-2.2411343944047175,9.0,240.0
20.0,53.480288514358726,-2.24120638815775,9.0,212.0
21.0,53.4802048762182,-2.241216216129327,9.333333333333334,184.0
22.0,53.48012554690251,-2.24115686450081,9.666666666666666,156.0
23.0,53.48007024134417,-2.2410379116811994,10.0,128.0
24.0,53.48005412236733,-2.2408842963736144,10.333333333333334,100.0
25.0,53.480083732332055,-2.2407311602512725,10.666666666666666,72.0
26.0,53.48011426760818,-2.240573238625107,11.0,72.0
27.0,53.480144802884304,-2.2404153169989423,11.0,72.0
28.0,53.48017533816043,-2.240257395372777,11.0,72.0
29.0,53.48020587343655,-2.240099473746612,11.0,72.0
30.0,53.48023640871268,-2.239941552120447,11.0,72.0
31.0,53.480266943988795,-2.2397836304942818,11.0,72.0
32.0,53.48029747926492,-2.239625708868117,11.0,72.0
33.0,53.480328014541044,-2.2394677872419515,11.0,72.0
34.0,53.480304109215396,-2.2393066709714367,11.0,104.0
35.0,53.480235612971384,-2.239195518343453,10.6,136.0
36.0,53.48014598751749,-2.2391635056895973,10.2,168.0
37.0,53.48006326215202,-2.2392141021757768,9.8,200.0
38.0,53.48001127492719,-2.239325917826211,9.4,232.0
39.0,53.47996149992469,-2.239432975363861,9.0,232.0
40.0,53.47992002075595,-2.2395221899785698,7.5,232.0
41.0,53.47988683742095,-2.239593561670336,6.0,232.0
42.0,53.4798619499197,-2.239647090439161,4.5,232.0
43.0,53.4798453582522,-2.239682776285045,3.0,232.0
44.0,53.479837062418454,-2.2397006192079862,1.5,232.0
