t,lat,lon,speed,course
0.0,51.4545,-2.5879,0.0,90.0
1.0,51.4545,-2.5878740512456404,1.8,90.0
2.0,51.4545,-2.587822153736922,3.6,90.0
3.0,51.4545,-2.587744307473844,5.4,90.0
4.0,51.4545,-2.5876405124564066,7.2,90.0
5.0,51.4545,-2.58751076868461,9.0,90.0
6.0,51.4545,-2.5873810249128137,9.0,90.0
7.0,51.4545,-2.587251281141017,9.0,90.0
8.0,51.4545,-2.5871215373692205,9.0,90.0
9.0,51.4545,-2.586991793597424,9.0,90.0
10.0,51.4545,-2.586862049825627,9.0,90.0
11.0,51.4545,-2.5867323060538308,9.0,90.0
12.0,51.4545,-2.5866025622820343,9.0,90.0
13.0,51.45447907499636,-2.586477239422056,9.0,105.0
14.0,51.45443865099348,-2.586364878019697,9.0,120.0
15.0,51.454381482820374,-2.586273135318843,9.0,135.0
16.0,51.45431146639355,-2.586208263432945,9.0,150.0
17.0,51.45424144996672,-2.5861433915470466,9.0,150.0
18.0,51.4541714335399,-2.586078519661148,9.0,150.0
19.0,51.45410141711307,-2.58601364777525,9.0,150.0
20.0,51.45403140068625,-2.5859487758893516,9.0,150.0
21.0,51.45396138425943,-2.5858839040034534,9.0,150.0
22.0,51.453891367832604,-2.585819032117555,9.0,150.0
23.0,51.45382135140578,-2.585754160231657,9.0,150.0
24.0,51.45375133497895,-2.5856892883457583,9.0,150.0
25.0,51.45368131855213,-2.58562441645986,9.0,150.0
26.0,51.45363464093425,-2.585581168535928,6.0,150.0
27.0,51.4536113021253,-2.585559544573962,3.0,150.0
28.0,51.4536113021253,-2.585559544573962,0.0,150.0
29.0,51.4536113021253,-2.585559544573962,0.0,150.0
30.0,51.4536113021253,-2.585559544573962,0.0,150.0
31.0,51.4536113021253,-2.585559544573962,0.0,150.0
32.0,51.4536113021253,-2.585559544573962,0.0,150.0
33.0,51.4536113021253,-2.585559544573962,0.0,150.0
34.0,51.4536113021253,-2.585559544573962,0.0,150.0
35.0,51.4536113021253,-2.585559544573962,0.0,150.0
36.0,51.4536113021253,-2.585559544573962,0.0,150.0
37.0,51.4535937980186,-2.585543326602487,2.25,150.0
38.0,51.453558789805186,-2.5855108906595383,4.5,150.0
39.0,51.45350627748507,-2.5854622367451143,6.75,150.0
40.0,51.45344619570795,-2.585375421216421,9.0,138.0
41.0,51.45339867444249,-2.5852704563001234,9.0,126.0
42.0,51.45336579059603,-2.585151929466741,9.0,114.0
43.0,51.45334898135046,-2.585025020907648,9.0,102.0
44.0,51.45334898135046,-2.5848952771358515,9.0,90.0
45.0,51.45336579059603,-2.5847683685767584,9.0,78.0
46.0,51.45339867444249,-2.5846498417433765,9.0,66.0
47.0,51.45344619570795,-2.5845448768270787,9.0,54.0
48.0,51.45350627748507,-2.584458061298385,9.0,42.0
49.0,51.453576293911894,-2.584393189412487,9.0,30.0
50.0,51.45364631033872,-2.5843283175265883,9.0,30.0
51.0,51.45370232348018,-2.58427642001787,7.2,30.0
52.0,51.453744333336275,-2.584237496886331,5.4,30.0
53.0,51.453772339907005,-2.5842115481319716,3.5999999999999996,30.0
54.0,51.45378634319237,-2.584198573754792,1.7999999999999998,30.0
