t,lat,lon,speed,course
0.0,53.8008,-1.5491,0.0,90.0
1.0,53.8008,-1.5490721144694215,1.8333333333333333,90.0
2.0,53.8008,-1.5490163434082649,3.6666666666666665,90.0
3.0,53.8008,-1.5489326868165296,5.5,90.0
4.0,53.8008,-1.5488211446942162,7.333333333333333,90.0
5.0,53.8008,-1.5486817170413243,9.166666666666666,90.0
6.0,53.8008,-1.548514403857854,11.0,90.0
7.0,53.8008,-1.548347090674384,11.0,90.0
8.0,53.8008,-1.5481797774909136,11.0,90.0
9.0,53.8008,-1.5480124643074433,11.0,90.0
10.0,53.8008,-1.547845151123973,11.0,90.0
11.0,53.8008,-1.547677837940503,11.0,90.0
12.0,53.8008,-1.5475105247570327,11.0,90.0
13.0,53.8008,-1.5473432115735624,11.0,90.0
14.0,53.8008,-1.5471758983900923,11.0,90.0
15.0,53.8008,-1.547008585206622,11.0,90.0
16.0,53.8008,-1.5468412720231517,11.0,90.0
17.0,53.8008,-1.5466739588396814,11.0,90.0
18.0,53.8008,-1.5465066456562113,11.0,90.0
19.0,53.8008,-1.546339332472741,11.0,90.0
20.0,53.8008,-1.5461720192892707,11.0,90.0
21.0,53.8008,-1.5460047061058004,11.0,90.0
22.0,53.8008,-1.5458373929223304,11.0,90.0
23.0,53.8008,-1.54567007973886,11.0,90.0
24.0,53.8008,-1.5455027665553898,11.0,90.0
25.0,53.8008,-1.5453354533719195,11.0,90.0
26.0,53.8008,-1.5451681401884494,11.0,90.0
27.0,53.8008,-1.545000827004979,11.0,90.0
28.0,53.8008,-1.5448335138215088,11.0,90.0
29.0,53.8008,-1.5446662006380387,11.0,90.0
30.0,53.8008,-1.5444988874545684,11.0,90.0
31.0,53.8007862477173,-1.5443332025514984,11.0,98.0
32.0,53.80075901082443,-1.544172370797003,11.0,106.0
33.0,53.80071881945654,-1.5440195225982398,11.0,114.0
34.0,53.80066645589288,-1.543877632971536,11.0,122.0
35.0,53.80061409232922,-1.5437357433448322,11.0,122.0
36.0,53.80056172876556,-1.5435938537181284,11.0,122.0
37.0,53.800509365201904,-1.5434519640914246,11.0,122.0
38.0,53.80045700163824,-1.5433100744647208,11.0,122.0
39.0,53.80040463807458,-1.543168184838017,11.0,122.0
40.0,53.80035227451092,-1.5430262952113132,11.0,122.0
41.0,53.80029991094727,-1.5428844055846094,11.0,122.0
42.0,53.800247547383606,-1.5427425159579056,11.0,122.0
43.0,53.800195183819945,-1.5426006263312018,11.0,122.0
44.0,53.80014282025628,-1.542458736704498,11.0,122.0
45.0,53.80009045669262,-1.5423168470777942,11.0,122.0
46.0,53.80003809312897,-1.5421749574510903,11.0,122.0
47.0,53.79998572956531,-1.5420330678243865,11.0,122.0
48.0,53.799933366001646,-1.5418911781976827,11.0,122.0
49.0,53.799881002437985,-1.541749288570979,11.0,122.0
50.0,53.79982863887433,-1.5416073989442751,11.0,122.0
51.0,53.79977627531067,-1.5414655093175713,11.0,122.0
52.0,53.79972391174701,-1.5413236196908675,11.0,122.0
53.0,53.79967154818335,-1.5411817300641637,11.0,122.0
54.0,53.799619184619694,-1.54103984043746,11.0,122.0
55.0,53.79956682105603,-1.540897950810756,11.0,122.0
56.0,53.79951445749237,-1.5407560611840523,11.0,122.0
57.0,53.79946209392871,-1.5406141715573485,11.0,122.0
58.0,53.799409730365056,-1.5404722819306447,11.0,122.0
59.0,53.799357366801395,-1.5403303923039409,11.0,122.0
60.0,53.799305003237734,-1.540188502677237,11.0,122.0
61.0,53.79926136693469,-1.5400702613216506,9.166666666666666,122.0
62.0,53.799226457892246,-1.5399756682371815,7.333333333333334,122.0
63.0,53.79920027611042,-1.5399047234238294,5.5,122.0
64.0,53.7991828215892,-1.539857426881595,3.666666666666667,122.0
65.0,53.799174094328585,-1.5398337786104777,1.833333333333334,122.0
