t,lat,lon,speed,course
0.0,51.5326,-0.105,0.0,90.0
1.0,51.5326,-0.10496750843824776,2.25,90.0
2.0,51.5326,-0.10490252531474328,4.5,90.0
3.0,51.5326,-0.10480505062948657,6.75,90.0
4.0,51.5326,-0.10467508438247762,9.0,90.0
5.0,51.5326,-0.10454511813546868,9.0,90.0
6.0,51.5326,-0.10441515188845973,9.0,90.0
7.0,51.5326,-0.10428518564145078,9.0,90.0
8.0,51.5326,-0.10415521939444183,9.0,90.0
9.0,51.5326,-0.10402525314743288,9.0,90.0
10.0,51.5326,-0.10389528690042393,9.0,90.0
11.0,51.5326,-0.103765320653415,9.0,90.0
12.0,51.5326,-0.10363535440640605,9.0,90.0
13.0,51.5326,-0.10354871024173341,6.0,90.0
14.0,51.5326,-0.1035053881593971,3.0,90.0
15.0,51.5326,-0.1035053881593971,0.0,90.0
16.0,51.5326,-0.1035053881593971,0.0,90.0
17.0,51.5326,-0.1035053881593971,0.0,90.0
18.0,51.5326,-0.1035053881593971,0.0,90.0
19.0,51.5326,-0.1035053881593971,0.0,90.0
20.0,51.5326,-0.1035053881593971,0.0,90.0
21.0,51.5326,-0.1035053881593971,0.0,90.0
22.0,51.5326,-0.10346928642411683,2.5,90.0
23.0,51.5326,-0.1033970829535563,5.0,90.0
24.0,51.5326,-0.10328877774771551,7.5,90.0
25.0,51.5326,-0.10314437080659446,10.0,90.0
26.0,51.5326,-0.10299996386547342,10.0,90.0
27.0,51.5326,-0.10285555692435236,10.0,90.0
28.0,51.5326,-0.1027111499832313,10.0,90.0
29.0,51.5326,-0.10256674304211025,10.0,90.0
30.0,51.5326,-0.10242233610098919,10.0,90.0
31.0,51.5326,-0.10227792915986814,10.0,90.0
32.0,51.5326,-0.10220572568930762,5.0,90.0
33.0,51.5326,-0.10220572568930762,0.0,90.0
34.0,51.5326,-0.10220572568930762,0.0,90.0
35.0,51.5326,-0.10220572568930762,0.0,90.0
36.0,51.5326,-0.10220572568930762,0.0,90.0
37.0,51.5326,-0.10220572568930762,0.0,90.0
38.0,51.5326,-0.10220572568930762,0.0,90.0
39.0,51.5326,-0.10220572568930762,0.0,90.0
40.0,51.5326,-0.10217323412755538,2.25,90.0
41.0,51.5326,-0.10210825100405091,4.5,90.0
42.0,51.5326,-0.1020107763187942,6.75,90.0
43.0,51.532579074996356,-0.10188523856426239,9.0,105.0
44.0,51.53253865099348,-0.10177268449271812,9.0,120.0
45.0,51.53248148282037,-0.10168078447813272,9.0,135.0
46.0,51.53241146639355,-0.10161580135462825,9.0,150.0
47.0,51.53233337321679,-0.10158216361468184,9.0,165.0
48.0,51.53225252521104,-0.10158216361468184,9.0,180.0
49.0,51.53217443203428,-0.10161580135462825,9.0,195.0
50.0,51.532104415607456,-0.10168078447813272,9.0,210.0
51.0,51.53204724743435,-0.10177268449271812,9.0,225.0
52.0,51.53200682343147,-0.10188523856426239,9.0,240.0
53.0,51.5319663994286,-0.10199779263580666,9.0,240.0
54.0,51.53193945009335,-0.10207282868350284,6.0,240.0
55.0,51.53192597542572,-0.10211034670735093,3.0,240.0
56.0,51.53192597542572,-0.10211034670735093,0.0,240.0
57.0,51.53192597542572,-0.10211034670735093,0.0,240.0
58.0,51.53192597542572,-0.10211034670735093,0.0,240.0
59.0,51.53192597542572,-0.10211034670735093,0.0,240.0
60.0,51.53192597542572,-0.10211034670735093,0.0,240.0
61.0,51.53192597542572,-0.10211034670735093,0.0,240.0
